cause,effect,edge,theoretical_perturbation_sets,theoretical_identifiable,theoretical_recovery_edge,theoretical_recoverable,application_recoverable,application_rows,recovered_application_rows,intervention_sets_tested,theoretical_only_not_application
arac,ydem,arac->ydem,,True,False,True,True,240,240,10,False
arac,yden,arac->yden,,True,False,True,True,240,240,10,False
arac,ygea,arac->ygea,,True,False,True,True,240,240,10,False
arac,yjff,arac->yjff,,True,False,True,True,240,240,10,False
arac,ytfq,arac->ytfq,,True,False,True,True,240,240,10,False
arac,ytfr,arac->ytfr,,True,False,True,True,240,240,10,False
arac,ytft,arac->ytft,,True,False,True,True,240,240,10,False
arca,acea,arca->acea,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,aceb,arca->aceb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,acee,arca->acee,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,acef,arca->acef,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,acek,arca->acek,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,acka,arca->acka,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,acna,arca->acna,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,acnb,arca->acnb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,acpp,arca->acpp,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,alda,arca->alda,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,appa,arca->appa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,appb,arca->appb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,appc,arca->appc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,appx,arca->appx,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,appy,arca->appy,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,arca,arca->arca,,False,False,False,False,240,0,10,False
arca,argr,arca->argr,"set 5: argr, dksa, fnr",False,True,True,False,216,0,9,True
arca,argt,arca->argt,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,beta,arca->beta,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,betb,arca->betb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,beti,arca->beti,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,bett,arca->bett,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cada,arca->cada,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cadb,arca->cadb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,caia,arca->caia,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,caib,arca->caib,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,caic,arca->caic,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,caid,arca->caid,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,caie,arca->caie,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cait,arca->cait,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cara,arca->cara,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,citc,arca->citc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,citd,arca->citd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cite,arca->cite,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,citf,arca->citf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,citg,arca->citg,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,citx,arca->citx,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cyca,arca->cyca,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cyda,arca->cyda,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cydb,arca->cydb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cydc,arca->cydc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cydd,arca->cydd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cyoa,arca->cyoa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cyob,arca->cyob,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cyoc,arca->cyoc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cyod,arca->cyod,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,cyoe,arca->cyoe,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,dcta,arca->dcta,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,dcua,arca->dcua,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,dcub,arca->dcub,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,dcuc,arca->dcuc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,dpia,arca->dpia,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,dpib,arca->dpib,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,dppa,arca->dppa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,dsbb,arca->dsbb,,True,False,True,True,240,240,10,False
arca,fada,arca->fada,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fadb,arca->fadb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fadd,arca->fadd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fade,arca->fade,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fadh,arca->fadh,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fadi,arca->fadi,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fadj,arca->fadj,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fadl,arca->fadl,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,feoa,arca->feoa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fnr,arca->fnr,"set 5: argr, dksa, fnr",False,True,True,False,216,0,9,True
arca,foca,arca->foca,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fole,arca->fole,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fuma,arca->fuma,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fumb,arca->fumb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,fumc,arca->fumc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,gada,arca->gada,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,gade,arca->gade,"set 1: gade, gadx, rpod",False,True,True,False,216,0,9,True
arca,gadx,arca->gadx,"set 1: gade, gadx, rpod",False,True,True,False,216,0,9,True
arca,gata,arca->gata,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,gatb,arca->gatb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,gatc,arca->gatc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,gatd,arca->gatd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,gaty,arca->gaty,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,gatz,arca->gatz,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glah,arca->glah,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glca,arca->glca,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glcb,arca->glcb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glcc,arca->glcc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glcd,arca->glcd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glce,arca->glce,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glcf,arca->glcf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glcg,arca->glcg,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glpa,arca->glpa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glpb,arca->glpb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glpc,arca->glpc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glpd,arca->glpd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glpe,arca->glpe,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,glta,arca->glta,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,grca,arca->grca,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hema,arca->hema,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hyaa,arca->hyaa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hyab,arca->hyab,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hyac,arca->hyac,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hyad,arca->hyad,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hyae,arca->hyae,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hyaf,arca->hyaf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hyba,arca->hyba,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hybb,arca->hybb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hybc,arca->hybc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hybd,arca->hybd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hybe,arca->hybe,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hybf,arca->hybf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hybg,arca->hybg,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,hybo,arca->hybo,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,icd,arca->icd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,igaa,arca->igaa,,True,False,True,True,240,240,10,False
arca,iram,arca->iram,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,kdpa,arca->kdpa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,kgtp,arca->kgtp,,True,False,True,True,240,240,10,False
arca,lldd,arca->lldd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,lldp,arca->lldp,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,lldr,arca->lldr,"set 1: gade, gadx, rpod",False,True,True,True,240,24,10,False
arca,lpd,arca->lpd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,mana,arca->mana,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,mdh,arca->mdh,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,moea,arca->moea,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,moeb,arca->moeb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,mqo,arca->mqo,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,msrb,arca->msrb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ndh,arca->ndh,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ndk,arca->ndk,,True,False,True,True,240,240,10,False
arca,nude,arca->nude,,True,False,True,True,240,240,10,False
arca,nuoa,arca->nuoa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuob,arca->nuob,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuoc,arca->nuoc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuoe,arca->nuoe,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuof,arca->nuof,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuog,arca->nuog,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuoh,arca->nuoh,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuoi,arca->nuoi,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuoj,arca->nuoj,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuok,arca->nuok,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuol,arca->nuol,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuom,arca->nuom,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nuon,arca->nuon,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,nupc,arca->nupc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ompw,arca->ompw,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,oppa,arca->oppa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,oppb,arca->oppb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,oppc,arca->oppc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,oppd,arca->oppd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,oppf,arca->oppf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,osmy,arca->osmy,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,pepn,arca->pepn,,True,False,True,True,240,240,10,False
arca,pflb,arca->pflb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,phoh,arca->phoh,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,plda,arca->plda,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,pncb,arca->pncb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,pnta,arca->pnta,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,potf,arca->potf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,pqqu,arca->pqqu,,True,False,True,True,240,240,10,False
arca,prfa,arca->prfa,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,prmc,arca->prmc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ptsg,arca->ptsg,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,puta,arca->puta,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,putp,arca->putp,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,puua,arca->puua,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,puub,arca->puub,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,puuc,arca->puuc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,puud,arca->puud,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,puue,arca->puue,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,puup,arca->puup,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,puur,arca->puur,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,pyrs,arca->pyrs,,True,False,True,True,240,240,10,False
arca,rhat,arca->rhat,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rho,arca->rho,,True,False,True,True,240,240,10,False
arca,rmf,arca->rmf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rplb,arca->rplb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rplc,arca->rplc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rpld,arca->rpld,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rplp,arca->rplp,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rplv,arca->rplv,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rplw,arca->rplw,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rpmc,arca->rpmc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rpos,arca->rpos,"set 4: hns, mara, rpos",False,True,True,False,216,0,9,True
arca,rpsc,arca->rpsc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rpsj,arca->rpsj,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rpsq,arca->rpsq,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rpss,arca->rpss,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rsd,arca->rsd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rsta,arca->rsta,"set 1: gade, gadx, rpod",False,True,True,True,240,48,10,False
arca,ruta,arca->ruta,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rutb,arca->rutb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rutc,arca->rutc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rutd,arca->rutd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rute,arca->rute,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rutf,arca->rutf,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,rutg,arca->rutg,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,sdha,arca->sdha,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,sdhb,arca->sdhb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,sdhc,arca->sdhc,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,sdhd,arca->sdhd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,soda,arca->soda,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ssb,arca->ssb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,sstt,arca->sstt,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,stha,arca->stha,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,suca,arca->suca,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,sucb,arca->sucb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,succ,arca->succ,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,sucd,arca->sucd,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,thic,arca->thic,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,thra,arca->thra,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,tpx,arca->tpx,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,treb,arca->treb,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,trec,arca->trec,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ubia,arca->ubia,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ubic,arca->ubic,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,uvra,arca->uvra,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,xtha,arca->xtha,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,xylr,arca->xylr,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ybdn,arca->ybdn,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ybfa,arca->ybfa,,True,False,True,True,240,240,10,False
arca,ybiu,arca->ybiu,,True,False,True,True,240,240,10,False
arca,ydea,arca->ydea,,True,False,True,True,240,240,10,False
arca,ydgc,arca->ydgc,,True,False,True,True,240,240,10,False
arca,yeiq,arca->yeiq,,True,False,True,True,240,240,10,False
arca,yejg,arca->yejg,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,yfif,arca->yfif,,True,False,True,True,240,240,10,False
arca,yhge,arca->yhge,,True,False,True,True,240,240,10,False
arca,yhje,arca->yhje,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,yiee,arca->yiee,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,yigi,arca->yigi,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,yjir,arca->yjir,,True,False,True,True,240,240,10,False
arca,ymje,arca->ymje,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
arca,ynaj,arca->ynaj,,True,False,True,True,240,240,10,False
arca,ynce,arca->ynce,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
argp,argo,argp->argo,"set 1: gade, gadx, rpod",False,True,True,True,240,240,10,False
argp,argp,argp->argp,,False,False,False,False,240,0,10,False
argp,asd,argp->asd,,True,False,True,True,240,240,10,False
