missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,corr_resid_vs_abs_error,residual_mean,MAE,n
MCAR,0.3,0.0,5000,0.2845636515766007,1.142297522137366,0.04693207232998151,2533.0
MCAR,0.3,0.0,10000,0.24817575871169534,1.158047751008407,0.032789637122023534,2533.0
MCAR,0.3,0.0,50000,0.46638884112038614,1.1589325144120968,0.01697751619903498,2533.0
MCAR,0.3,0.0,100000,0.5015691691083966,1.1507548398283496,0.012962956444764855,2533.0
MCAR,0.3,0.2,100,0.7380535198155229,1.052054351445458,0.13943397935232757,2535.0
MCAR,0.3,0.2,500,0.6552112441101762,1.02475173239626,0.0893717621403551,2535.0
MCAR,0.3,0.2,1000,0.48590170307256797,1.1583287569097906,0.09612313384550611,2533.0
MCAR,0.3,0.2,5000,0.5214295389108147,1.1435454260897102,0.055340839675575355,2533.0
MCAR,0.3,0.2,10000,0.4198666900856167,1.1444349888445264,0.03982026818982256,2533.0
MCAR,0.3,0.2,50000,0.5531194502573664,1.1408242557183683,0.02534400835980771,2533.0
MCAR,0.3,0.2,100000,0.5218728959838127,1.140186202103922,0.02166035038760381,2533.0
MCAR,0.3,0.4,100,0.7849730139316845,1.0383077840360821,0.13500178499472343,2535.0
MCAR,0.3,0.4,500,0.6736691747677376,1.0592160332305816,0.09211130575559962,2535.0
MCAR,0.3,0.4,1000,0.4580219858918757,1.1520885434813133,0.10031849866037079,2533.0
MCAR,0.3,0.4,5000,0.5049838666458535,1.1171301773564593,0.05917741802098917,2533.0
MCAR,0.3,0.4,10000,0.5579136010625707,1.1308808990333168,0.04597891735001716,2533.0
MCAR,0.3,0.4,50000,0.649878306215512,1.1252288692282113,0.032274805085549634,2533.0
MCAR,0.3,0.4,100000,0.6475634896733021,1.121129603589823,0.02971863011327706,2533.0
MNAR_self_mask,0.0,0.0,100,0.325438507131623,1.1300155150331284,0.07338914214742105,2533.0
MNAR_self_mask,0.0,0.0,500,0.33289272656202806,1.150361317854617,0.03190737006204504,2533.0
MNAR_self_mask,0.0,0.0,1000,0.44841482943555977,1.1483392350379868,0.023563605055759714,2533.0
MNAR_self_mask,0.0,0.0,5000,0.5615924161729662,1.150205556030628,0.01307990226371062,2533.0
MNAR_self_mask,0.0,0.0,10000,0.5587098551434302,1.1507705435297577,0.010545432607641354,2533.0
MNAR_self_mask,0.0,0.0,50000,0.6142148152955348,1.1517984269533048,0.007272021518866649,2533.0
MNAR_self_mask,0.0,0.0,100000,0.5975903885310564,1.1520944411766723,0.006513539918106043,2533.0
MNAR_self_mask,0.0,0.2,100,0.39710217255771235,1.152414890286512,0.07484345855532605,2533.0
MNAR_self_mask,0.0,0.2,500,0.4279837296111695,1.1315893189177013,0.03754892040114584,2533.0
MNAR_self_mask,0.0,0.2,1000,0.4993708586439756,1.1324037355300276,0.029751968706174935,2533.0
MNAR_self_mask,0.0,0.2,5000,0.5523201961328772,1.1355828973536224,0.022063973312219817,2533.0
MNAR_self_mask,0.0,0.2,10000,0.5309253924506846,1.1370135002444666,0.019839424790617923,2533.0
MNAR_self_mask,0.0,0.2,50000,0.5436288891454091,1.1380424143818402,0.017294868685207094,2533.0
MNAR_self_mask,0.0,0.2,100000,0.548584297726695,1.1378293414775564,0.016680270278680003,2533.0
MNAR_self_mask,0.0,0.4,100,0.41600248949216434,1.126594910619893,0.08122155005443414,2533.0
MNAR_self_mask,0.0,0.4,500,0.628416948657616,1.1187395689986632,0.04687373006045328,2533.0
MNAR_self_mask,0.0,0.4,1000,0.659627045652417,1.1213438103718636,0.03936199576365557,2533.0
MNAR_self_mask,0.0,0.4,5000,0.6342417968964787,1.1250387532545796,0.029410359033559035,2533.0
MNAR_self_mask,0.0,0.4,10000,0.6598860650431373,1.1242750062004636,0.02758177541282237,2533.0
MNAR_self_mask,0.0,0.4,50000,0.6676366196858508,1.1238477465176442,0.02539726640771214,2533.0
MNAR_self_mask,0.0,0.4,100000,0.6614752044196276,1.1237535065708637,0.024757039367665466,2533.0
MNAR_self_mask,0.3,0.0,100,0.7582697917118562,1.271532075763897,0.12032503901182812,2535.0
MNAR_self_mask,0.3,0.0,500,0.5292135653319109,1.2577593852292703,0.09235012740311746,2535.0
MNAR_self_mask,0.3,0.0,1000,0.2145291874364937,1.3740985581664287,0.07778024489214673,2533.0
MNAR_self_mask,0.3,0.0,5000,0.4885815323575784,1.3832900885283284,0.049420805130355704,2533.0
MNAR_self_mask,0.3,0.0,10000,0.5031854969622088,1.3810281869257466,0.04373004344195417,2533.0
MNAR_self_mask,0.3,0.0,50000,0.6107869665447426,1.373517636194075,0.039255156052779024,2533.0
