missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,MAE,RMSE,bias,median_abs_error,RelativeSlopeError
biological_error,0.9,0.2,1000,2533,0.1873170951732203,0.21385367740630712,0.008707959515000075,0.1681366085043582,0.9068626173904095
biological_error,0.9,0.2,5000,2533,0.18721428243808494,0.21133851742015555,0.008382435776712155,0.1669531353376123,0.9041549531373476
biological_error,0.9,0.2,10000,2533,0.18734782733420322,0.21119426317265885,0.0085341541300018,0.1666078590435161,0.905055582747576
biological_error,0.9,0.2,50000,2533,0.1876165309185654,0.21133338478018285,0.008519617030960387,0.166504006481653,0.9058651196442415
biological_error,0.9,0.2,100000,2533,0.187602861347087,0.21127120152189544,0.008588170335111684,0.1665074853698851,0.9058933983690096
biological_error,0.9,0.4,100,2533,0.1995302212517882,0.2486809918434426,0.006666292010132983,0.1703284439896779,1.1015581061056217
biological_error,0.9,0.4,500,2533,0.17448198881097765,0.20263797402730055,0.007979291637755279,0.1571167825866011,0.9211457748376922
biological_error,0.9,0.4,1000,2533,0.17313387856556145,0.1985174863339346,0.008409020162687084,0.15580437569738362,0.9096606675998629
biological_error,0.9,0.4,5000,2533,0.17268020207466442,0.19560709842187857,0.007365244694823053,0.1543525006256224,0.9044250147579459
biological_error,0.9,0.4,10000,2533,0.17266972378081155,0.1952429110528982,0.007541016161904701,0.15450205228821962,0.905038097786176
biological_error,0.9,0.4,50000,2533,0.17294347376618596,0.19527181360954232,0.0074341574228123375,0.1538578456986964,0.90611269051729
biological_error,0.9,0.4,100000,2533,0.17287911382709434,0.1951157142354548,0.007440642417747191,0.1541947298359745,0.9061073860766791
biological_error,0.9,0.6,100,2533,0.2522799654471751,0.30852690623772644,0.010743612169779822,0.2183827386644235,1.059552392869553
biological_error,0.9,0.6,500,2533,0.2296367990272057,0.2645377694012422,0.008130657857440946,0.20839708392163359,0.9209515137633568
biological_error,0.9,0.6,1000,2533,0.22960011762641638,0.2622576119935164,0.009094395087483727,0.2044254502061412,0.917376421075072
biological_error,0.9,0.6,5000,2533,0.22885771418371495,0.2594113647846711,0.008119831535649534,0.2042319846218096,0.9102350287149211
biological_error,0.9,0.6,10000,2533,0.2289851233090755,0.2595043716049571,0.008111674832810199,0.2030930166391032,0.9106563788470048
biological_error,0.9,0.6,50000,2533,0.22915182052800523,0.2593783458095125,0.00844613641768533,0.2022784949331141,0.9114843473783394
biological_error,0.9,0.6,100000,2533,0.229129462207088,0.25935657490373926,0.008524461604516014,0.2026825149993849,0.9112285452026498
