missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,residual_mean,residual_median,residual_std
biological_error,0.2,0.4,1000,2533,3.70288530787796,3.194822237224641,2.4722737056187056
biological_error,0.2,0.4,5000,2533,3.28291956400751,2.698718812461797,2.4504791696414525
biological_error,0.2,0.4,10000,745,3.8021394928990184,3.173531669520294,2.61151705009584
biological_error,0.2,0.4,50000,2533,6.567842344630865,5.372988136207019,4.853063896041266
biological_error,0.2,0.4,100000,2533,6.177839339853522,5.054530501757597,4.69424829261207
biological_error,0.4,0.0,100,2533,4.3558733946998025,3.417876169523389,3.5060063212330865
biological_error,0.4,0.0,500,2533,4.191267624219348,3.271402672270064,3.6343765138953974
biological_error,0.4,0.0,1000,2533,4.391869455707917,3.4774585683661696,3.468341412673607
biological_error,0.4,0.0,5000,2533,3.9936722601345633,3.1138837703711313,3.362453818166449
biological_error,0.4,0.0,10000,871,4.246910187791659,3.3393845861728253,3.428309763479933
biological_error,0.4,0.0,50000,2533,8.116491856078449,6.0531026891903155,7.166616463909872
biological_error,0.4,0.0,100000,2533,8.81660345196379,6.978994665049214,7.227913061102701
biological_error,0.4,0.2,100,2533,4.5458658577381685,3.627136041643666,3.617561763160862
biological_error,0.4,0.2,500,2533,4.5666452998691005,3.7162946207635743,3.5531574087368676
biological_error,0.4,0.2,1000,2533,4.269362696916105,3.4345152472866864,3.44875336535842
biological_error,0.4,0.2,5000,2533,4.137631384787042,3.2131694492829435,3.6395404501808897
biological_error,0.4,0.2,10000,703,4.58352666526176,3.782754863124324,3.5658543099329596
biological_error,0.4,0.2,50000,2533,8.35562996196542,6.415062868076185,7.259926214438324
biological_error,0.4,0.2,100000,2533,7.459437276599849,5.576072770851456,7.150592024006148
biological_error,0.4,0.4,100,2533,4.6261750259680445,3.781766003194816,3.6986849928024315
biological_error,0.4,0.4,500,2533,4.4080485500931275,3.610109757846888,3.421254333830888
biological_error,0.4,0.4,1000,2533,4.722240976780184,3.919177116563584,3.547590712349198
biological_error,0.4,0.4,5000,2533,4.135459085323505,3.1949191829335715,3.4991914515830276
biological_error,0.4,0.4,10000,731,4.884443375643912,3.833647654599929,3.805495334147158
biological_error,0.4,0.4,50000,2533,8.842445836984341,7.0980101380033265,7.16287703864257
biological_error,0.4,0.4,100000,2533,8.285260251351586,6.4964046008181695,6.933936519349986
biological_error,0.6,0.0,100,2533,4.132768008148902,3.159126592279995,3.4824827395526454
biological_error,0.6,0.0,500,2533,3.97256850061561,3.043976421873906,3.612883524260132
biological_error,0.6,0.0,1000,2533,4.173328005763041,3.239238569975901,3.453252845928576
biological_error,0.6,0.0,5000,2533,3.7763433620550093,2.884566499114109,3.3341714189439378
biological_error,0.6,0.0,10000,854,4.018616434598769,3.100196581653811,3.3795199760657426
biological_error,0.6,0.0,50000,2533,7.815014093900219,5.723170401855491,7.143371976160913
biological_error,0.6,0.0,100000,2533,8.51089995381714,6.554356579519,7.206880368366415
biological_error,0.6,0.2,100,2533,4.326798488390348,3.3777504406601806,3.593731613086537
biological_error,0.6,0.2,500,2533,4.329663713881272,3.472997606532697,3.5204704043828277
biological_error,0.6,0.2,1000,2533,4.040595586978228,3.172061678955425,3.4265744654960426
biological_error,0.6,0.2,5000,2533,3.9150246071459787,2.962130933928889,3.6149068676949065
biological_error,0.6,0.2,10000,694,4.35023210644319,3.5343127062501267,3.557429280797281
biological_error,0.6,0.2,50000,2533,8.042789266667857,6.075818931335295,7.227316241376076
biological_error,0.6,0.2,100000,2533,7.159965245872946,5.246899745422779,7.121173544626483
biological_error,0.6,0.4,100,2533,4.328552823465432,3.400583762714409,3.6344232454685996
biological_error,0.6,0.4,500,2533,4.109158611380202,3.28990356395104,3.346707061027339
biological_error,0.6,0.4,1000,2533,4.4259654285465215,3.5732905809298705,3.497838419112243
biological_error,0.6,0.4,5000,2533,3.854921658509208,2.8938613400498467,3.4453469586141403
biological_error,0.6,0.4,10000,706,4.508310880478389,3.5457293570829345,3.67545568201662
biological_error,0.6,0.4,50000,2533,8.487608824027367,6.745917680485103,7.123018275236022
biological_error,0.6,0.4,100000,2533,7.938662138296807,6.0930360848433,6.8963053711917315
biological_error,0.8,0.0,100,2533,2.683259817257052,1.997149229111876,2.3478994068485455
biological_error,0.8,0.0,500,2533,2.5705151766837093,1.9191839165757931,2.422391026840879
biological_error,0.8,0.0,1000,2533,2.708751609090302,2.086935755708535,2.2983944560829803
biological_error,0.8,0.0,5000,2533,2.44595684775158,1.8376563510092816,2.2154191354506185
biological_error,0.8,0.0,10000,845,2.6017984316153586,1.9881231491808589,2.2478280561601127
biological_error,0.8,0.0,50000,2533,5.10682250681917,3.7264542101375,4.751915906224794
biological_error,0.8,0.0,100000,2533,5.571467760637971,4.273959399229804,4.801757300791864
biological_error,0.8,0.2,100,2533,2.8116948998284057,2.1227204588043884,2.4648875608201464
biological_error,0.8,0.2,500,2533,2.8074460398493724,2.2160553897056645,2.3446611878376737
biological_error,0.8,0.2,1000,2533,2.6196326313977556,2.0392779199251634,2.2859618978183986
biological_error,0.8,0.2,5000,2533,2.5330772496827985,1.8842012127524492,2.3943642523011226
biological_error,0.8,0.2,10000,673,2.828816953687048,2.277177009817388,2.363023593227984
biological_error,0.8,0.2,50000,2533,5.2548261676984,3.9406217787965088,4.807744851628063
biological_error,0.8,0.2,100000,2533,4.671687525397889,3.3795345296317207,4.739204439983632
biological_error,0.8,0.4,100,2533,2.7698877531622954,2.1700144146673943,2.4619536793468
biological_error,0.8,0.4,500,2533,2.632195038269233,2.050589010956967,2.2295611027777413
biological_error,0.8,0.4,1000,2533,2.847221524363353,2.249584698008988,2.318369809486897
biological_error,0.8,0.4,5000,2533,2.471774806701238,1.8205859240913969,2.2827683203425755
biological_error,0.8,0.4,10000,681,2.9043853069483356,2.23170531947311,2.459243451563166
biological_error,0.8,0.4,50000,2533,5.534772532985449,4.351299018738491,4.736167556182478
biological_error,0.8,0.4,100000,2533,5.1723358770829675,3.92806970615339,4.583219509673216
