cause,effect,nonident_cause,rescue_nodes,n_rescue_nodes
fur,ybdZ,cross_scc_blocked,fur,1
fur,ygaC,cross_scc_blocked,fur|nac,2
fur,yhhY,cross_scc_blocked,fur,1
fur,yjcH,cross_scc_blocked,fur,1
fur,yjjZ,cross_scc_blocked,fur,1
fur,zinT,cross_scc_blocked,fur,1
fur,zwf,cross_scc_blocked,fur,1
marA,nfo,cross_scc_blocked,rob,1
galS,galE,cross_scc_blocked,,0
galS,galK,cross_scc_blocked,,0
galS,galM,cross_scc_blocked,,0
galS,galP,cross_scc_blocked,,0
galS,galR,two_cycle,galS,1
galS,galS,self_loop,,0
galS,galT,cross_scc_blocked,,0
galS,mglA,cross_scc_blocked,,0
galS,mglB,cross_scc_blocked,,0
galS,mglC,cross_scc_blocked,,0
marA,nfsA,cross_scc_blocked,rob,1
glnG,amtB,cross_scc_blocked,glnG,1
glnG,argT,cross_scc_blocked,glnG,1
glnG,astA,cross_scc_blocked,glnG,1
glnG,astB,cross_scc_blocked,glnG,1
glnG,astC,cross_scc_blocked,glnG,1
glnG,astD,cross_scc_blocked,glnG,1
glnG,astE,cross_scc_blocked,glnG,1
glnG,cbl,cross_scc_blocked,glnG,1
glnG,ddpA,cross_scc_blocked,glnG,1
glnG,ddpB,cross_scc_blocked,glnG,1
flhC,ccmA,cross_scc_blocked,flhC|fliZ,2
marA,nfsB,cross_scc_blocked,rob,1
glnG,ddpC,cross_scc_blocked,glnG,1
glnG,ddpD,cross_scc_blocked,glnG,1
glnG,ddpF,cross_scc_blocked,glnG,1
glnG,ddpX,cross_scc_blocked,glnG,1
glnG,glnA,cross_scc_blocked,glnG,1
glnG,glnG,self_loop,,0
glnG,glnH,cross_scc_blocked,glnG,1
glnG,glnK,cross_scc_blocked,glnG,1
glnG,glnL,cross_scc_blocked,glnG,1
glnG,glnP,cross_scc_blocked,glnG,1
marA,rimK,cross_scc_blocked,rob,1
glnG,glnQ,cross_scc_blocked,glnG,1
glnG,hisJ,cross_scc_blocked,glnG,1
glnG,hisM,cross_scc_blocked,glnG,1
glnG,hisP,cross_scc_blocked,glnG,1
glnG,hisQ,cross_scc_blocked,glnG,1
glnG,nac,same_scc_long,glnG,1
glnG,patA,cross_scc_blocked,glnG,1
glnG,potF,cross_scc_blocked,glnG,1
glnG,potG,cross_scc_blocked,glnG|rpoN,2
glnG,potH,cross_scc_blocked,glnG|rpoN,2
marA,rob,two_cycle,marA,1
glnG,potI,cross_scc_blocked,glnG|rpoN,2
glnG,relA,cross_scc_blocked,glnG,1
glnG,rpoE,same_scc_long,glnG,1
glnG,rseA,cross_scc_blocked,glnG,1
glnG,rseB,cross_scc_blocked,glnG,1
glnG,rseC,cross_scc_blocked,glnG,1
glnG,rseD,cross_scc_blocked,glnG,1
glnG,rutA,cross_scc_blocked,glnG,1
glnG,rutB,cross_scc_blocked,glnG,1
glnG,rutC,cross_scc_blocked,glnG,1
marA,sodA,cross_scc_blocked,rob,1
glnG,rutD,cross_scc_blocked,glnG,1
glnG,rutE,cross_scc_blocked,glnG,1
glnG,rutF,cross_scc_blocked,glnG,1
glnG,rutG,cross_scc_blocked,glnG,1
glnG,yeaG,cross_scc_blocked,glnG,1
glnG,yeaH,cross_scc_blocked,glnG|rpoN,2
glnG,yhdX,cross_scc_blocked,glnG|rpoN,2
glnG,yhdY,cross_scc_blocked,glnG|rpoN,2
glnG,yhdZ,cross_scc_blocked,glnG|rpoN,2
gutM,gutM,self_loop,,0
marA,tolC,cross_scc_blocked,rob,1
gutM,gutQ,cross_scc_blocked,,0
gutM,srlA,cross_scc_blocked,,0
gutM,srlB,cross_scc_blocked,,0
gutM,srlD,cross_scc_blocked,,0
gutM,srlE,cross_scc_blocked,,0
gutM,srlR,two_cycle,gutM,1
hicB,hicB,self_loop,,0
hyfR,hyfR,self_loop,,0
idnR,idnR,self_loop,,0
lsrR,lsrR,self_loop,,0
marA,ybjC,cross_scc_blocked,rob,1
malI,malI,self_loop,,0
melR,melR,self_loop,,0
mlc,mlc,self_loop,,0
nagC,nagC,self_loop,,0
ompR,acrR,same_scc_long,ompR,1
ompR,bolA,same_scc_long,ompR,1
ompR,cadA,cross_scc_blocked,ompR,1
ompR,cadB,cross_scc_blocked,ompR,1
ompR,cadC,cross_scc_blocked,ompR,1
ompR,copA,cross_scc_blocked,ompR|rpoD,2
marA,ybjN,cross_scc_blocked,rob,1
ompR,csgD,same_scc_long,ompR,1
ompR,csgE,cross_scc_blocked,ompR,1
ompR,csgF,cross_scc_blocked,ompR,1
ompR,csgG,cross_scc_blocked,ompR,1
ompR,csgI,cross_scc_blocked,csgD|ompR,2
ompR,dtpA,cross_scc_blocked,ompR,1
ompR,ecnB,cross_scc_blocked,ompR,1
ompR,fadE,cross_scc_blocked,ompR,1
ompR,fadL,cross_scc_blocked,ompR,1
ompR,feoA,cross_scc_blocked,ompR,1
marA,ygiB,cross_scc_blocked,rob,1
ompR,feoB,cross_scc_blocked,ompR,1
ompR,feoC,cross_scc_blocked,ompR,1
ompR,flhC,same_scc_long,ompR,1
ompR,flhD,same_scc_long,ompR,1
ompR,galP,cross_scc_blocked,ompR,1
ompR,gmhA,cross_scc_blocked,ompR,1
ompR,htpX,cross_scc_blocked,ompR,1
ompR,lpp,cross_scc_blocked,ompR|rpoE,2
ompR,malE,cross_scc_blocked,ompR,1
ompR,narU,cross_scc_blocked,ompR,1
marA,ygiC,cross_scc_blocked,rob,1
ompR,narV,cross_scc_blocked,ompR|rpoE,2
ompR,narW,cross_scc_blocked,ompR|rpoE,2
ompR,narZ,cross_scc_blocked,nac|ompR,2
ompR,nuoN,cross_scc_blocked,ompR,1
ompR,ompC,cross_scc_blocked,ompR,1
ompR,ompF,cross_scc_blocked,ompR,1
ompR,ompX,cross_scc_blocked,ompR,1
ompR,pdhR,cross_scc_blocked,ompR,1
ompR,pgaA,cross_scc_blocked,ompR,1
ompR,pgaB,cross_scc_blocked,ompR,1
marA,yhbW,cross_scc_blocked,rob,1
ompR,pgaC,cross_scc_blocked,ompR,1
ompR,pgaD,cross_scc_blocked,ompR,1
ompR,queE,cross_scc_blocked,ompR|phoP|rpoH,3
ompR,rhtA,cross_scc_blocked,nac|ompR,2
ompR,rob,cross_scc_blocked,ompR,1
ompR,sra,cross_scc_blocked,ompR,1
ompR,sstT,cross_scc_blocked,ompR,1
ompR,tolC,cross_scc_blocked,ompR,1
ompR,yobB,cross_scc_blocked,nac|ompR,2
ompR,znuA,cross_scc_blocked,ompR,1
flhC,ccmB,cross_scc_blocked,flhC|fliZ,2
marA,zwf,cross_scc_blocked,rob,1
oxyR,ahpC,cross_scc_blocked,fur|oxyR,2
oxyR,ahpF,cross_scc_blocked,fur|oxyR,2
oxyR,ccp,cross_scc_blocked,fur|oxyR,2
oxyR,dps,cross_scc_blocked,fur|oxyR,2
oxyR,dsbG,cross_scc_blocked,fur|oxyR,2
oxyR,elaB,cross_scc_blocked,fur|oxyR,2
oxyR,fhuF,cross_scc_blocked,fur|oxyR,2
oxyR,flu,cross_scc_blocked,fur|oxyR,2
oxyR,fur,scc_edge_dissolved,oxyR,1
oxyR,gntP,cross_scc_blocked,fur|oxyR,2
marR,marA,two_cycle,marR,1
oxyR,gor,cross_scc_blocked,fur|oxyR,2
oxyR,hcp,cross_scc_blocked,fur|oxyR,2
oxyR,hcr,cross_scc_blocked,fur|oxyR,2
oxyR,hemF,cross_scc_blocked,fur|oxyR,2
oxyR,hemH,cross_scc_blocked,fur|oxyR,2
oxyR,isrC,cross_scc_blocked,fur|oxyR,2
oxyR,katG,cross_scc_blocked,fur|oxyR,2
oxyR,metE,cross_scc_blocked,fur|oxyR,2
oxyR,metR,cross_scc_blocked,fur|oxyR,2
oxyR,mntH,cross_scc_blocked,fur|oxyR,2
marR,marB,cross_scc_blocked,,0
oxyR,nfsA,cross_scc_blocked,fur|oxyR,2
oxyR,oxyR,self_loop,,0
oxyR,poxB,cross_scc_blocked,fur|oxyR,2
oxyR,rimK,cross_scc_blocked,fur|oxyR,2
oxyR,sufA,cross_scc_blocked,fur|oxyR,2
oxyR,sufB,cross_scc_blocked,fur|oxyR,2
oxyR,sufC,cross_scc_blocked,fur|oxyR,2
oxyR,sufD,cross_scc_blocked,fur|oxyR,2
oxyR,sufE,cross_scc_blocked,fur|oxyR,2
oxyR,sufS,cross_scc_blocked,fur|oxyR,2
marR,marR,self_loop,,0
oxyR,trxC,cross_scc_blocked,fur|oxyR|rpoD,3
