cause,effect,nonident_cause,same_scc_after_removal,needs_intervention,min_break_set,min_break_size,rescuable_within_k,cut_verified
rpsF,rpsR,two_cycle,False,False,[],0,True,True
rpsR,priB,cross_scc_blocked,False,False,[],0,True,True
rpsR,rplI,cross_scc_blocked,False,False,[],0,True,True
rpsR,rpsF,two_cycle,False,False,[],0,True,True
rpsR,rpsR,self_loop,True,True,"[""rpsF""]",1,True,False
srlR,gutM,two_cycle,False,False,[],0,True,True
srlR,gutQ,cross_scc_blocked,False,False,[],0,True,True
galR,galE,cross_scc_blocked,False,False,[],0,True,True
srlR,srlA,cross_scc_blocked,False,False,[],0,True,True
srlR,srlB,cross_scc_blocked,False,False,[],0,True,True
srlR,srlD,cross_scc_blocked,False,False,[],0,True,True
srlR,srlE,cross_scc_blocked,False,False,[],0,True,True
srlR,srlR,self_loop,True,True,"[""gutM""]",1,True,False
sxy,sxy,self_loop,True,True,[],0,False,False
tdcA,tdcA,self_loop,True,True,[],0,False,False
uxuR,exuR,two_cycle,False,False,[],0,True,True
uxuR,lgoD,cross_scc_blocked,False,False,[],0,True,True
uxuR,lgoR,cross_scc_blocked,False,False,[],0,True,True
galR,galK,cross_scc_blocked,False,False,[],0,True,True
uxuR,uxuA,cross_scc_blocked,False,False,[],0,True,True
uxuR,uxuB,cross_scc_blocked,False,False,[],0,True,True
uxuR,uxuR,self_loop,True,True,"[""exuR""]",1,True,False
zraR,zraR,self_loop,True,True,"[""crp"", ""rpoN""]",2,True,False
fliA,fliA,self_loop,True,True,"[""fliZ""]",1,True,False
fliA,fliZ,scc_edge_dissolved,False,False,[],0,True,True
fliZ,gadE,scc_edge_dissolved,False,False,[],0,True,True
alsR,alsR,self_loop,True,True,[],0,False,False
mazE,mazE,self_loop,True,True,"[""mazF""]",1,True,False
mazE,mazF,two_cycle,False,False,[],0,True,True
ihfA,ihfA,self_loop,True,True,"[""dksA"", ""ihfB"", ""rpoS""]",3,True,False
arcA,arcA,self_loop,True,True,"[""fnr"", ""rpoD""]",2,True,False
galR,galM,cross_scc_blocked,False,False,[],0,True,True
mazE,mazG,cross_scc_blocked,False,False,[],0,True,True
