cause,effect,adjustment_set,same_scc
pdhR,fadH,arcA|btsR|cra|crp|fadR|fnr|glaR|hipB|ompR|rpoD|rpoS,False
pdhR,fadL,arcA|btsR|cra|crp|fadR|fnr|glaR|lldR|lrp|ompR|phoP|rob|rpoD|rpoN|rpoS,False
pdhR,fadM,btsR|cra|crp|fadR|fnr|glaR|ompR|rpoD|rpoE|rpoS,False
pdhR,fecA,btsR|cra|crp|fecI|fnr|fur|glaR|hypT|ompR|rpoD|rpoS,False
pdhR,fecB,btsR|cra|crp|fecI|fnr|fur|glaR|hypT|ompR|rpoD|rpoS,False
pdhR,fecC,btsR|cra|crp|fecI|fnr|fur|glaR|hypT|ompR|rpoD|rpoS,False
pdhR,fecD,btsR|cra|crp|fecI|fnr|fur|glaR|hypT|ompR|rpoD|rpoS,False
pdhR,fecE,btsR|cra|crp|fecI|fnr|fur|glaR|hypT|ompR|rpoD|rpoS,False
pdhR,ftsA,btsR|cra|crp|fnr|glaR|lexA|ompR|rcsB|rpoD|rpoS|sdiA,False
pdhR,ftsI,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,ftsL,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,ftsQ,btsR|cra|crp|fnr|glaR|lexA|lrp|ompR|rpoD|rpoS|sdiA,False
pdhR,ftsW,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,ftsZ,argR|btsR|cra|crp|dicF|fnr|glaR|lexA|ompR|rcsB|rpoD|rpoS|sdiA,False
pdhR,fumD,btsR|cra|crp|fnr|glaR|nac|ompR|rpoD|rpoS,False
pdhR,glcA,arcA|btsR|cra|crp|fnr|glaR|glcC|ihfA|ihfB|lrp|nac|ompR|rpoD|rpoS,False
pdhR,glcB,arcA|btsR|cra|crp|fnr|glaR|glcC|ihfA|ihfB|ompR|rpoD|rpoS,False
pdhR,glcD,arcA|btsR|cra|crp|fnr|glaR|glcC|ihfA|ihfB|lldR|ompR|rpoD|rpoS,False
pdhR,glcE,arcA|btsR|cra|crp|fnr|glaR|glcC|ihfA|ihfB|ompR|rpoD|rpoS,False
pdhR,glcF,arcA|btsR|cra|crp|fnr|glaR|glcC|ihfA|ihfB|ompR|rpoD|rpoS,False
pdhR,glcG,arcA|btsR|cra|crp|fnr|glaR|glcC|ihfA|ihfB|ompR|rpoD|rpoS,False
pdhR,gmhA,btsR|cpxR|cra|crp|fnr|glaR|ompR|rpoD|rpoS,False
pdhR,grcA,arcA|btsR|cra|crp|fis|fnr|fur|glaR|ompR|rpoD|rpoS,False
pdhR,hemL,btsR|cra|crp|fliA|fnr|glaR|ompR|phoP|rpoD|rpoS,False
pdhR,hha,basR|btsR|cpxR|cra|crp|fnr|glaR|ompR|rpoD|rpoS,False
pdhR,lldP,arcA|btsR|cra|crp|fnr|glaR|lldR|ompR|rpoD|rpoS|spf,False
pdhR,lpd,arcA|btsR|cra|crp|fis|fnr|fur|glaR|ompR|rpoD|rpoS,False
pdhR,lpxC,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,mraY,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,mraZ,btsR|cra|crp|fnr|glaR|ompR|rpoD|rpoS,False
pdhR,murC,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,murD,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,murE,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,murF,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
pdhR,murG,btsR|cra|crp|fnr|glaR|lexA|ompR|rpoD|rpoS,False
