cause,effect,status,adjustment_set,same_scc,timed_out
flhD,glpA,unidentifiable,,False,False
flhD,glpB,unidentifiable,,False,False
flhD,glpC,unidentifiable,,False,False
flhD,gltI,unidentifiable,,False,False
flhD,gltJ,unidentifiable,,False,False
flhD,gltK,unidentifiable,,False,False
flhD,gltL,unidentifiable,,False,False
flhD,hydN,unidentifiable,,False,False
flhD,hypF,unidentifiable,,False,False
flhD,iclR,unidentifiable,,False,False
flhD,mdh,unidentifiable,,False,False
flhD,mglA,unidentifiable,,False,False
flhD,mglB,unidentifiable,,False,False
flhD,mglC,unidentifiable,,False,False
flhD,napA,unidentifiable,,False,False
flhD,napB,unidentifiable,,False,False
flhD,napC,unidentifiable,,False,False
flhD,napD,unidentifiable,,False,False
flhD,napF,unidentifiable,,False,False
flhD,napG,unidentifiable,,False,False
flhD,napH,unidentifiable,,False,False
flhD,nfrB,unidentifiable,,False,False
flhD,nrfA,unidentifiable,,False,False
flhD,nrfB,unidentifiable,,False,False
flhD,nrfC,unidentifiable,,False,False
flhD,nrfD,unidentifiable,,False,False
flhD,nrfE,unidentifiable,,False,False
flhD,nrfF,unidentifiable,,False,False
flhD,nrfG,unidentifiable,,False,False
flhD,pdeH,unidentifiable,,False,False
flhD,pfkA,unidentifiable,,False,False
flhD,ppdA,unidentifiable,,False,False
flhD,ppdB,unidentifiable,,False,False
flhD,ppdC,unidentifiable,,False,False
flhD,ptsH,unidentifiable,,False,False
flhD,recC,unidentifiable,,False,False
flhD,setB,unidentifiable,,False,False
flhD,tcyJ,unidentifiable,,False,False
flhD,ycgR,unidentifiable,,False,False
flhD,yecR,unidentifiable,,False,False
flhD,ygbK,unidentifiable,,False,False
flhD,ygdB,unidentifiable,,False,False
flhD,ymdA,unidentifiable,,False,False
flhD,ymdB,unidentifiable,,False,False
marA,acnA,unidentifiable,,False,False
marA,acrA,unidentifiable,,False,False
marA,acrB,unidentifiable,,False,False
marA,acrZ,unidentifiable,,False,False
marA,aldA,unidentifiable,,False,False
marA,ariR,identifiable,acrR|bluR|cpxR|cra|crp|cysB|fis|nac|ompR|rpoD|rpoS|soxS,False,False
marA,dapD,unidentifiable,,False,False
marA,dctR,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|glaR|hns|nac|ompR|rcsB|rpoD|soxS|ydeO,False,False
marA,decR,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,fpr,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,fumC,unidentifiable,,False,False
marA,glnD,unidentifiable,,False,False
marA,hdeA,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,False,False
marA,hdeB,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,False,False
marA,inaA,unidentifiable,,False,False
marA,lacA,identifiable,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,False,False
marA,lacY,identifiable,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,False,False
marA,lacZ,identifiable,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,False,False
marA,map,unidentifiable,,False,False
marA,marA,unidentifiable,,True,False
marA,marB,unidentifiable,,False,False
marA,marR,unidentifiable,,True,False
marA,mdaB,unidentifiable,,False,False
marA,mlaB,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,mlaC,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,mlaD,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,mlaE,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,mlaF,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,nfo,unidentifiable,,False,False
marA,nfsA,unidentifiable,,False,False
marA,nfsB,unidentifiable,,False,False
marA,poxB,identifiable,acrR|cpxR|cra|crp|fis|fnr|nac|narL|narP|nsrR|ompR|oxyR|rpoD|rpoS|soxS,False,False
marA,pqiA,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False,False
marA,pqiB,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False,False
marA,pqiC,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False,False
marA,purA,identifiable,acrR|cpxR|cra|crp|fis|gadE|nac|ompR|purR|rpoD|soxS,False,False
marA,putA,identifiable,acrR|arcA|basR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS|yeiE,False,False
marA,rimK,unidentifiable,,False,False
marA,rob,unidentifiable,,True,False
marA,slp,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|hns|nac|ompR|rcsB|rpoD|soxS|torR|ydeO,False,False
marA,sodA,unidentifiable,,False,False
marA,tolC,unidentifiable,,False,False
marA,waaY,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,waaZ,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,xseA,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,ybjC,unidentifiable,,False,False
marA,ybjN,unidentifiable,,False,False
marA,ycgZ,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False,False
marA,ygiB,unidentifiable,,False,False
marA,ygiC,unidentifiable,,False,False
marA,yhbW,unidentifiable,,False,False
marA,yhiD,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,False,False
marA,ymgA,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False,False
marA,ymgC,identifiable,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False,False
marA,yncE,identifiable,acrR|arcA|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False,False
marA,zwf,unidentifiable,,False,False
marR,marA,unidentifiable,,True,False
marR,marB,unidentifiable,,False,False
marR,marR,unidentifiable,,True,False
soxR,aroF,unidentifiable,,False,False
soxR,fumC,unidentifiable,,False,False
soxR,sodA,unidentifiable,,False,False
soxR,soxR,unidentifiable,,True,False
soxR,soxS,unidentifiable,,True,False
soxR,tyrA,unidentifiable,,False,False
soxR,yjcB,unidentifiable,,False,False
soxR,yrbL,unidentifiable,,False,False
soxS,acnA,unidentifiable,,False,False
soxS,acrA,unidentifiable,,False,False
soxS,acrB,unidentifiable,,False,False
soxS,acrZ,unidentifiable,,False,False
soxS,aldA,unidentifiable,,False,False
soxS,cadA,unidentifiable,,False,False
soxS,dapD,unidentifiable,,False,False
soxS,decR,unidentifiable,,False,False
soxS,fldA,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
soxS,fldB,unidentifiable,,False,False
soxS,fpr,unidentifiable,,False,False
soxS,fumC,unidentifiable,,False,False
soxS,fur,unidentifiable,,True,False
soxS,glnD,unidentifiable,,False,False
soxS,inaA,unidentifiable,,False,False
soxS,map,unidentifiable,,False,False
soxS,marA,unidentifiable,,False,False
soxS,marB,unidentifiable,,False,False
soxS,marR,unidentifiable,,False,False
soxS,mdaB,unidentifiable,,False,False
soxS,nepI,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
soxS,nfo,unidentifiable,,False,False
soxS,nfsA,unidentifiable,,False,False
soxS,nfsB,unidentifiable,,False,False
soxS,ompN,unidentifiable,,False,False
soxS,ompW,unidentifiable,,False,False
soxS,pgi,unidentifiable,,False,False
soxS,poxB,unidentifiable,,False,False
soxS,pqiA,unidentifiable,,False,False
soxS,pqiB,unidentifiable,,False,False
soxS,pqiC,unidentifiable,,False,False
soxS,ptsG,unidentifiable,,False,False
soxS,ribA,unidentifiable,,False,False
soxS,rimK,unidentifiable,,False,False
soxS,rob,unidentifiable,,False,False
soxS,sodA,unidentifiable,,False,False
soxS,soxS,unidentifiable,,True,False
soxS,tolC,unidentifiable,,False,False
soxS,uof,unidentifiable,,False,False
soxS,waaY,unidentifiable,,False,False
soxS,waaZ,unidentifiable,,False,False
soxS,ybjC,unidentifiable,,False,False
soxS,ybjN,unidentifiable,,False,False
soxS,ydbK,unidentifiable,,False,False
soxS,ygiB,unidentifiable,,False,False
soxS,ygiC,unidentifiable,,False,False
soxS,yhbW,unidentifiable,,False,False
soxS,yrbL,unidentifiable,,False,False
soxS,zinT,unidentifiable,,False,False
soxS,zwf,unidentifiable,,False,False
ada,ada,unidentifiable,,True,False
ada,aidB,identifiable,lrp|rpoD|rpoS,False,False
ada,alkA,identifiable,rpoD|rpoS,False,False
ada,alkB,identifiable,rpoD|rpoS,False,False
aidB,aidB,unidentifiable,,True,False
adiY,adiA,unidentifiable,,False,False
adiY,gadA,unidentifiable,,False,False
adiY,gadB,unidentifiable,,False,False
adiY,gadC,unidentifiable,,False,False
adiY,gadX,unidentifiable,,True,False
adiY,gltB,unidentifiable,,False,False
adiY,gltD,unidentifiable,,False,False
adiY,gltF,unidentifiable,,False,False
gadX,amtB,unidentifiable,,False,False
gadX,asnB,unidentifiable,,False,False
gadX,btuB,unidentifiable,,False,False
gadX,cadA,unidentifiable,,False,False
gadX,cadB,unidentifiable,,False,False
gadX,dctR,unidentifiable,,False,False
gadX,dtpA,unidentifiable,,False,False
gadX,gadA,unidentifiable,,False,False
gadX,gadB,unidentifiable,,False,False
gadX,gadC,unidentifiable,,False,False
gadX,gadE,unidentifiable,,True,False
gadX,gadW,unidentifiable,,True,False
gadX,gadX,unidentifiable,,True,False
gadX,glnK,unidentifiable,,False,False
gadX,glsA,unidentifiable,,False,False
gadX,hdeA,unidentifiable,,False,False
gadX,hdeB,unidentifiable,,False,False
gadX,hdeD,unidentifiable,,False,False
gadX,hns,unidentifiable,,True,False
gadX,lon,unidentifiable,,False,False
gadX,mdtE,unidentifiable,,False,False
gadX,mdtF,unidentifiable,,False,False
gadX,murI,unidentifiable,,False,False
gadX,rpoS,unidentifiable,,True,False
gadX,slp,unidentifiable,,False,False
gadX,speG,unidentifiable,,False,False
gadX,uspE,unidentifiable,,False,False
gadX,ybaT,unidentifiable,,False,False
gadX,ydeM,unidentifiable,,False,False
gadX,ydeN,unidentifiable,,False,False
gadX,yhiD,unidentifiable,,False,False
gadX,ynfB,unidentifiable,,False,False
lrp,thrV,unidentifiable,,False,False
lrp,topA,unidentifiable,,False,False
lrp,treA,unidentifiable,,False,False
lrp,trhO,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,trxB,unidentifiable,,False,False
lrp,tsuA,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,tyrP,unidentifiable,,False,False
lrp,tyrR,unidentifiable,,False,False
lrp,ubiA,unidentifiable,,False,False
lrp,upp,unidentifiable,,False,False
lrp,uspE,unidentifiable,,False,False
lrp,wecB,unidentifiable,,False,False
lrp,yaaX,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yabQ,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yacL,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yaeQ,unidentifiable,,False,False
lrp,yagU,unidentifiable,,False,False
lrp,yaiY,unidentifiable,,False,False
lrp,ybdF,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ybdG,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ybdL,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ybeX,unidentifiable,,False,False
lrp,ybgA,unidentifiable,,False,False
lrp,ybgS,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ybhQ,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ybiI,unidentifiable,,False,False
lrp,ybiJ,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA|yhaJ,False,False
lrp,ybiO,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ybiT,unidentifiable,,False,False
lrp,ybjN,unidentifiable,,False,False
lrp,ybjS,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ybjX,unidentifiable,,False,False
lrp,ycaM,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yceB,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ycfJ,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ycgB,unidentifiable,,False,False
lrp,ychE,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yciN,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yciT,unidentifiable,,False,False
lrp,yciZ,unidentifiable,,False,False
lrp,ydcK,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ydcL,unidentifiable,,False,False
lrp,ydeE,unidentifiable,,False,False
lrp,ydeN,unidentifiable,,False,False
lrp,ydgH,unidentifiable,,False,False
lrp,ydhQ,unidentifiable,,False,False
lrp,yeaE,unidentifiable,,False,False
lrp,yeaG,unidentifiable,,False,False
lrp,yebF,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yehL,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yeiL,unidentifiable,,False,False
lrp,yfaP,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yfcC,unidentifiable,,False,False
lrp,yfcZ,unidentifiable,,False,False
lrp,yfiB,unidentifiable,,False,False
lrp,ygiV,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ygiW,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yhbY,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yhcN,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yhdN,unidentifiable,,False,False
lrp,yhdV,unidentifiable,,False,False
lrp,yhhA,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yhhW,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA|yhaJ,False,False
lrp,yhiD,unidentifiable,,False,False
lrp,yhiM,unidentifiable,,False,False
lrp,yhjE,unidentifiable,,False,False
lrp,yhjJ,unidentifiable,,False,False
lrp,yhjR,unidentifiable,,False,False
lrp,yiaG,unidentifiable,,False,False
lrp,yibL,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yibT,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yicH,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yiiM,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yjbJ,unidentifiable,,False,False
lrp,yjbQ,unidentifiable,,False,False
lrp,yjbR,unidentifiable,,False,False
lrp,yjeH,unidentifiable,,False,False
lrp,yjeM,unidentifiable,,False,False
lrp,yjfP,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yjiC,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yjiL,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ykgE,unidentifiable,,False,False
lrp,ynjH,unidentifiable,,False,False
lrp,yoaH,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yodC,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yojI,unidentifiable,,False,False
lrp,yqeF,unidentifiable,,False,False
lrp,yqeG,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,ytfB,unidentifiable,,False,False
lrp,ytfJ,unidentifiable,,False,False
lrp,ytfK,unidentifiable,,False,False
lrp,ytjB,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,yzgL,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,zipA,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,zitB,identifiable,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
lrp,zntR,unidentifiable,,False,False
pnp,pnp,unidentifiable,,True,False
rpsO,rpsO,unidentifiable,,True,False
stpA,bglB,unidentifiable,,False,False
stpA,bglF,unidentifiable,,False,False
stpA,bglG,unidentifiable,,False,False
stpA,cas1,unidentifiable,,False,False
stpA,cas2,unidentifiable,,False,False
stpA,casA,unidentifiable,,False,False
stpA,casB,unidentifiable,,False,False
stpA,casC,unidentifiable,,False,False
stpA,casD,unidentifiable,,False,False
stpA,casE,unidentifiable,,False,False
stpA,fau,unidentifiable,,False,False
stpA,leuO,unidentifiable,,True,False
stpA,malE,unidentifiable,,False,False
stpA,malF,unidentifiable,,False,False
stpA,malG,unidentifiable,,False,False
stpA,ssrS,unidentifiable,,False,False
stpA,stpA,unidentifiable,,True,False
arsR,arsB,identifiable,rpoD,False,False
arsR,arsC,identifiable,rpoD,False,False
arsR,arsR,unidentifiable,,True,False
ascG,ascB,identifiable,crp|hns|rpoD,False,False
ascG,ascF,identifiable,cpxR|crp|hns|rpoD|spf,False,False
ascG,htpG,identifiable,crp|hns|nac|rpoH|rpoN,False,False
ascG,prpR,identifiable,crp|hns|phoB|rpoD,False,False
ascG,ybiT,identifiable,crp|hns|lrp|rob,False,False
prpR,prpB,identifiable,ascG|cra|crp|phoB|rpoD|rpoN,False,False
prpR,prpC,identifiable,ascG|cra|crp|phoB|rpoD|rpoN,False,False
prpR,prpD,identifiable,ascG|cra|crp|phoB|rpoD|rpoN,False,False
prpR,prpE,identifiable,ascG|cra|crp|phoB|rpoD|rpoN,False,False
prpR,prpR,unidentifiable,,True,False
asnC,asnA,identifiable,lrp|nac|rpoD,False,False
asnC,asnC,unidentifiable,,True,False
asnC,mioC,identifiable,mraZ|nac|rpoD,False,False
asnC,mnmG,identifiable,nac|rpoD|rpoS,False,False
atoC,atoA,identifiable,ihfA|ihfB|rpoN,False,False
atoC,atoB,identifiable,ihfA|ihfB|rpoN,False,False
atoC,atoD,identifiable,ihfA|ihfB|rpoN|spf,False,False
atoC,atoE,identifiable,ihfA|ihfB|rpoN,False,False
baeR,acrD,identifiable,cpxR|evgA|rpoD|rpoN|rpoS,False,False
baeR,baeR,unidentifiable,,True,False
baeR,baeS,identifiable,cpxR|glaR|rpoS,False,False
baeR,mdtA,identifiable,cpxR|rpoS,False,False
baeR,mdtB,identifiable,cpxR|rpoS,False,False
baeR,mdtC,identifiable,cpxR|rpoS,False,False
baeR,mdtD,identifiable,cpxR|rob|rpoS,False,False
baeR,spy,identifiable,cpxR|rpoD|rpoS,False,False
baeR,ycaC,identifiable,cpxR|fnr|nac|rpoS,False,False
basR,arnA,identifiable,,False,False
basR,arnB,identifiable,,False,False
basR,arnC,identifiable,,False,False
basR,arnD,identifiable,,False,False
basR,arnE,identifiable,,False,False
basR,arnF,identifiable,,False,False
basR,arnT,identifiable,,False,False
basR,csgD,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
basR,csgE,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
basR,csgF,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
basR,csgG,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
basR,cspI,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
basR,dgkA,identifiable,,False,False
basR,emrD,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
basR,eptA,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
basR,fimB,identifiable,alpA|btsR|glaR|glrR|nanR|nsrR|ptrR|rcdA,False,False
basR,glpA,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
basR,glpB,identifiable,alpA|btsR|glaR|glrR|nsrR|ptrR|rcdA,False,False
